VA Class,VA Category
XA499,"COLOSTOMY/ILEOSTOMY COLLECTION DEVICES,OTHER"
XA500,UROSTOMY/URINARY COLLECTION DEVICES
XA501,"BAG,BEDSIDE URINARY COLLECTION DEVICE"
XA502,BOTTLES/OTHER BEDSIDE URINARY COLLECTION DEVICES
XA503,"SETS,APPLIANCE,UROSTOMY"
XA504,"BAG,DRAINABLE WITH ADHESIVE,UROSTOMY"
XA505,"BAG,DRAINABLE WITHOUT ADHESIVE,UROSTOMY"
XA506,"BAG,CLOSED WITH ADHESIVE,UROSTOMY"
XA507,"BAG,CLOSED WITHOUT ADHESIVE,UROSTOMY"
XA508,"BAG,LEG URINARY COLLECTION DEVICE"
XA509,"CATHETER,FOLEY"
XA510,"CATHETER,COUDE-TIP"
XA511,"CATHETER,BALLOON"
XA512,"CATHETER,RED RUBBER"
XA513,"CATHETER,EXTERNAL URINARY"
XA514,"PLUG,CATHETER"
XA515,"KIT,CATHETER CARE"
XA516,"SET,IRRIGATION"
XA599,"UROSTOMY/URINARY COLLECTION DEVICES,OTHER"
XA600,"OSTOMY SUPPLIES,OTHER"
XA601,"RINGS,OSTOMY"
XA602,"DISCS,OSTOMY"
XA603,"ADHESIVES,OSTOMY"
XA604,"PROTECTANTS,SKIN,OSTOMY"
XA605,"BELTS,OSTOMY"
XA606,"ODOR CONTROL PRODUCTS,OSTOMY"
XA607,"IRRIGATORS/SETS,OSTOMY"
XA608,"CAPS,OSTOMY"
XA699,"OSTOMY SUPPLIES,OTHER"
XA700,BAGS/TUBES/SUPPLIES FOR ORAL NUTRITION
XA701,"BAGS,FEEDING"
XA702,"PUMPS,FEEDING"
XA703,"TUBES,FEEDING"
XA799,"BAGS/TUBES/SUPPLIES FOR ORAL NUTRITION,OTHER"
XA800,INTRAVENOUS SETS
XA801,"SETS,VOLUMETRIC,INTRAVENOUS"
XA802,"SETS,MAXI-DRIP,INTRAVENOUS"
XA803,"SETS,MINI-DRIP,INTRAVENOUS"
XA804,"SETS,FILTER,INTRAVENOUS"
XA805,"SETS,BUTTERFLY,INTRAVENOUS"
XA809,"INTRAVENOUS SETS,OTHER"
XA850,SYRINGES/NEEDLES
XA851,"SYRINGES,SLIP TIP,INJECTION"
XA852,"SYRINGES,LUER LOCK,INJECTION"
XA853,"SYRINGES WITH NEEDLE,INJECTION"
XA854,"SYRINGES,INSULIN,INJECTION"
XA855,"CAPS,SYRINGE"
XA856,"NEEDLES,INJECTION"
XA859,"SYRINGES/NEEDLES,OTHER"
XA900,"SUPPLIES,OTHER"
XX000,MISCELLANEOUS AGENTS
