id,NAME,GENERIC_NAME,NAME_TYPE,FULL_GENERIC_NAME,FDA_SCHEDULE,VA_CLASS,VA_CATEGORY,CATEGORY
602,PARAFLUOROFENTANYL,PARAFLUOROFENTANYL,GENERIC_NAME,PARAFLUOROFENTANYL,SCHEDULE I,CN801,AMPHETAMINES,AMPHETAMINES
603,ZING,AMPHETAMINE,STREET_NAME,AMPHETAMINE AND DEXTROAMPHETAMINE COMBINATION,SCHEDULE II,CN801,AMPHETAMINES,AMPHETAMINES
604,DEXEDRINE,AMPHETAMINE,BRAND_NAME,AMPHETAMINE,SCHEDULE II,CN801,AMPHETAMINES,AMPHETAMINES
605,PHENADOXONE,PHENADOXONE,GENERIC_NAME,PHENADOXONE,SCHEDULE I,CN801,AMPHETAMINES,AMPHETAMINES
606,BUPRENORPHINE,BUPRENORPHINE,GENERIC_NAME,BUPRENORPHINE,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
607,SUBOXONE,BUPRENORPHINE,BRAND_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
608,SUBUTEX,BUPRENORPHINE,BRAND_NAME,BUPRENORPHINE,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
609,THIOFENTANYL,THIOFENTANYL,GENERIC_NAME,THIOFENTANYL,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
610,BOXES,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
611,Α-METHYLACETYLFENTANYL,Α-METHYLACETYLFENTANYL,GENERIC_NAME,Α-METHYLACETYLFENTANYL,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
612,BUPES,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
613,25B-NBOME,25B-NBOME,GENERIC_NAME,25B-NBOME,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
614,ORANGES,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
615,ALPHA-PYRROLIDINOPENTIOPHENONE,ALPHA-PYRROLIDINOPENTIOPHENONE,GENERIC_NAME,ALPHA-PYRROLIDINOPENTIOPHENONE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
616,SOBOS,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
617,STOP SIGNS,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
618,STOPS,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
619,SUBS,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
620,BIG WHITES,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
621,NAPHYRONE,NAPHYRONE,GENERIC_NAME,NAPHYRONE,SCHEDULE I,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
622,BUSE,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
623,SMALL WHITES,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
624,RACEMORPHAN,RACEMORPHAN,GENERIC_NAME,RACEMORPHAN,SCHEDULE II,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
625,STRIPS,BUPRENORPHINE,STREET_NAME,BUPRENORPHINE AND NALOXONE COMBINATION,SCHEDULE III,CN101,OPIOID ANALGESICS,OPIOID ANALGESICS
626,CLONAZEPAM,CLONAZEPAM,GENERIC_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
627,BENZOS,CLONAZEPAM,STREET_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
628,TETRONAL,TETRONAL,GENERIC_NAME,TETRONAL,SCHEDULE III,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
629,K,CLONAZEPAM,STREET_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
630,K-PIN,CLONAZEPAM,STREET_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
631,PIN,CLONAZEPAM,STREET_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
632,SUPER VALIUM,CLONAZEPAM,STREET_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
633,TRANKS,CLONAZEPAM,STREET_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
634,KLONOPIN,CLONAZEPAM,STREET_NAME,CLONAZEPAM,SCHEDULE IV,CN302,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS,BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS
635,COCAINE,COCAINE,GENERIC_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
636,REGULAR KIND,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
637,ACETYLFENTANYL,ACETYLFENTANYL,GENERIC_NAME,ACETYLFENTANYL,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
638,REGULAR WORK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
639,REINDEER DUST,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
640,RICHIE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
641,RIMS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
642,ROCKY MOUNTAIN,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
643,CANNABIDIOL,CANNABIDIOL,GENERIC_NAME,CANNABIDIOL,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
644,ROLEX,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
645,ROLEX HH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
646,ROOSTER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
647,DESOXYMETHYLTESTOSTERONE,DESOXYMETHYLTESTOSTERONE,GENERIC_NAME,DESOXYMETHYLTESTOSTERONE,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
648,SCALE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
649,DIHYDROCODEINE,DIHYDROCODEINE,GENERIC_NAME,DIHYDROCODEINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
650,SCHMECK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
651,SCHOOLBOY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
652,SCORPION,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
653,SCOTTIE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
654,SEED,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
655,TETRAHYDROGESTRINONE,TETRAHYDROGESTRINONE,GENERIC_NAME,TETRAHYDROGESTRINONE,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
656,SERPICO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
657,ALPHA-METHYLTRYPTAMINE,ALPHA-METHYLTRYPTAMINE,GENERIC_NAME,ALPHA-METHYLTRYPTAMINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
658,SIERRA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
659,SHIRT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
660,SKI EQUIPMENT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
661,SLEIGH RIDE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
662,SNEEZE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
663,SNIFF,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
664,SNOW,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
665,SNOW BIRD,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
666,SNOW CONE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
667,SNOW WHITE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
668,SNOWBALL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
669,SNOWFLAKE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
670,SOCIETY HIGH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
671,ERGINE,ERGINE,GENERIC_NAME,ERGINE,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
672,SODA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
673,SODITAS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
674,SOFT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
675,SPACE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
676,SPECIAL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
677,SPEEDBALL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
678,STARDUST,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
679,STAR SPANGLED POWDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
680,STASH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
681,STUDIO FUEL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
682,SUAVE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
683,SUGAR,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
684,SUPERMAN,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
685,SWEET STUFF,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
686,DEXMETHYLPHENIDATE,DEXMETHYLPHENIDATE,GENERIC_NAME,DEXMETHYLPHENIDATE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
687,TABIQUE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
688,TABLAS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
689,TALCO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
690,TALQUITO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
691,TAMALES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
692,PARA-METHOXYAMPHETAMINE,PARA-METHOXYAMPHETAMINE,GENERIC_NAME,PARA-METHOXYAMPHETAMINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
693,TAXI,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
694,TECATE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
695,PSILOCIN,PSILOCIN,GENERIC_NAME,PSILOCIN,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
696,TEENAGER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
697,TEETH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
698,TEQUILA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
699,THUNDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
700,TIRE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
701,TONTO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
702,TOOT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
703,TORTES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
704,TORTUGA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
705,TOYOTA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
706,DIMETHYLLYSERGAMIDE,DIMETHYLLYSERGAMIDE,GENERIC_NAME,DIMETHYLLYSERGAMIDE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
707,T-SHIRTS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
708,TUBO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
709,TUCIBI,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
710,FENETHYLLINE,FENETHYLLINE,GENERIC_NAME,FENETHYLLINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
711,TURKEY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
712,HEXOBARBITAL,HEXOBARBITAL,GENERIC_NAME,HEXOBARBITAL,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
713,TUTTI-FRUTTI,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
714,VAQUITA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
715,WASH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
716,LEVOMETHORPHAN,LEVOMETHORPHAN,GENERIC_NAME,LEVOMETHORPHAN,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
717,WET,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
718,WHACK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
719,METHORPHAN,METHORPHAN,GENERIC_NAME,METHORPHAN,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
720,WHITE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
721,METHYPRYLON,METHYPRYLON,GENERIC_NAME,METHYPRYLON,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
722,WHITE BITCH,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
723,WHITE CROSS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
724,WHITE DOVE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
725,WHITE GIRL,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
726,WHITE GOAT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
727,PHOLCODINE,PHOLCODINE,GENERIC_NAME,PHOLCODINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
728,WHITE HORSE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
729,WHITE LADY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
730,WHITE MERCEDES BENZ,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
731,TETRAZEPAM,TETRAZEPAM,GENERIC_NAME,TETRAZEPAM,SCHEDULE IV,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
732,WHITE MOSQUITO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
733,WHITE PAINT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
734,ACETYLDIHYDROCODEINE,ACETYLDIHYDROCODEINE,GENERIC_NAME,ACETYLDIHYDROCODEINE,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
735,WHITE POWDER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
736,WHITE ROCK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
737,WHITE ROOT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
738,WHITE SHIRT,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
739,WHITE T,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
740,WHITE WALL TIRES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
741,WHITEY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
742,WHIZ BANG,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
743,WINGS,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
744,WOOLY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
745,WORK,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
746,YAYO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
747,YEYO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
748,YODA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
749,ZAPATO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
750,ZIP,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
751,HUNTER,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
752,ICE CREAM,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
753,ICING,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
754,INCA MESSAGE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
755,BOLANDIONE,BOLANDIONE,GENERIC_NAME,BOLANDIONE,SCHEDULE III,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
756,IZZY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
757,JAM,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
758,JAIME BLANCO,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
759,JWH-250,JWH-250,GENERIC_NAME,JWH-250,SCHEDULE I,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
760,JAULA,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
761,LOPIRAZEPAM,LOPIRAZEPAM,GENERIC_NAME,LOPIRAZEPAM,SCHEDULE IV,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
762,JEEP,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
763,JELLY,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
764,JOHN DEERE,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
765,JOY FLAKES,COCAINE,STREET_NAME,COCAINE,SCHEDULE II,NT300,"ANESTHETICS,MUCOSAL","ANESTHETICS,MUCOSAL"
